season,week,date,time_et,neutral,away,home,score_away,score_home,first_downs_away,first_downs_home,first_downs_from_passing_away,first_downs_from_passing_home,first_downs_from_rushing_away,first_downs_from_rushing_home,first_downs_from_penalty_away,first_downs_from_penalty_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,plays_away,plays_home,drives_away,drives_home,yards_away,yards_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,sacks_num_away,sacks_yards_away,sacks_num_home,sacks_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,redzone_comp_away,redzone_att_away,redzone_comp_home,redzone_att_home,fumbles_away,fumbles_home,interceptions_away,interceptions_home,def_st_td_away,def_st_td_home,possession_away,possession_home
2016,2,2016-09-18,8:30 PM,False,Packers,Vikings,14,17,20,15,10,11,5,2,5,2,6,13,4,14,0,1,1,2,64,57,12,11,263,284,20,36,180,22,31,254,5,33,4,32,23,83,22,30,6,72,13,137,2,3,1,1,2,1,1,0,0,0,29:42,30:18
2016,3,2016-09-25,1:00 PM,False,Lions,Packers,27,34,22,17,17,9,4,6,1,2,8,14,5,10,1,1,0,0,67,50,9,10,418,324,28,41,368,15,24,201,3,17,2,4,23,50,24,123,4,86,4,45,1,3,4,5,0,0,1,0,0,0,35:07,24:53
2016,5,2016-10-09,8:30 PM,False,Giants,Packers,16,23,14,23,12,13,2,9,0,1,4,13,9,19,0,0,0,0,54,77,11,12,221,406,18,35,178,23,45,259,4,21,0,0,15,43,32,147,6,51,6,57,1,2,1,3,1,0,0,2,0,0,23:22,36:38
2016,6,2016-10-16,4:25 PM,False,Cowboys,Packers,30,16,24,24,14,17,7,4,3,3,3,11,7,13,1,1,0,1,62,67,11,11,424,372,18,27,233,31,42,294,2,14,1,0,33,191,24,78,7,60,5,23,2,4,1,4,1,3,1,1,0,0,29:50,30:10
2016,7,2016-10-20,8:25 PM,False,Bears,Packers,10,26,13,32,9,21,3,5,1,6,2,8,9,16,0,0,1,2,45,81,9,10,189,406,10,26,120,39,56,303,1,10,2,23,18,69,23,103,10,108,9,56,0,0,3,6,0,1,2,0,2,0,20:24,39:36
2016,8,2016-10-30,4:25 PM,False,Packers,Falcons,32,33,24,25,16,16,5,6,3,3,6,10,4,9,0,1,1,1,60,56,9,9,331,367,28,38,223,28,35,277,3,23,2,11,19,108,19,90,6,68,7,46,4,5,3,4,0,0,0,0,0,0,31:17,28:43
2016,9,2016-11-06,4:25 PM,False,Colts,Packers,31,26,22,25,14,16,7,7,1,2,7,14,4,12,0,0,0,0,66,65,12,12,355,405,23,36,270,26,43,289,2,11,3,8,28,85,19,116,4,35,4,25,3,4,2,4,0,0,2,1,1,0,30:03,29:57
2016,10,2016-11-13,1:00 PM,False,Packers,Titans,25,47,21,19,17,13,4,3,0,3,4,15,7,14,2,4,0,1,73,59,13,14,402,446,32,55,333,20,27,292,5,46,1,13,13,69,31,154,12,107,7,65,2,4,3,4,1,0,2,0,0,0,30:29,29:31
2016,11,2016-11-20,8:30 PM,False,Packers,Commanders,24,42,19,21,15,14,2,6,2,1,7,15,9,14,1,2,1,1,65,62,11,11,424,515,27,44,340,21,30,364,2,20,2,11,19,84,30,151,6,59,6,40,2,4,4,5,1,0,1,0,0,0,30:23,29:37
2016,12,2016-11-28,8:30 PM,False,Packers,Eagles,27,13,25,20,15,12,7,7,3,1,10,14,5,11,1,1,0,1,67,58,8,7,387,292,30,39,313,24,36,211,0,0,4,43,28,74,18,81,7,51,7,42,2,4,1,1,0,0,0,1,0,0,35:23,24:37
2016,13,2016-12-04,1:00 PM,False,Texans,Packers,13,21,17,16,9,9,8,7,0,0,6,15,4,12,1,2,1,2,64,57,11,10,307,309,22,35,184,20,30,200,2,18,1,9,27,123,26,109,3,12,4,30,1,1,2,3,1,1,0,0,0,0,31:31,28:29
2016,14,2016-12-11,4:25 PM,False,Seahawks,Packers,10,38,22,18,14,10,7,5,1,3,6,12,4,11,0,1,0,1,68,56,13,14,354,330,22,39,218,18,25,237,3,22,1,9,26,136,30,93,7,63,5,50,0,1,4,4,1,0,5,0,0,0,31:50,28:10
2016,15,2016-12-18,1:00 PM,False,Packers,Bears,30,27,20,29,9,21,9,5,2,3,3,10,3,8,0,1,0,0,58,63,11,11,451,449,19,31,225,30,43,354,4,27,1,8,23,226,19,95,8,64,6,40,2,5,3,5,0,1,0,3,0,0,32:47,27:13
